danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,like
0.756,0.451,11,-11.287,0,0.47,0.588,0,0.0942,0.555,143.864,audio_features,2vHmE2q0EYbw0F8asrHPmW,spotify:track:2vHmE2q0EYbw0F8asrHPmW,https://api.spotify.com/v1/tracks/2vHmE2q0EYbw0F8asrHPmW,https://api.spotify.com/v1/audio-analysis/2vHmE2q0EYbw0F8asrHPmW,188187,4,0
0.622,0.844,10,-3.759,0,0.269,0.165,0,0.455,0.12,94.449,audio_features,2h65kdqlhMRtp5l5qIFA9v,spotify:track:2h65kdqlhMRtp5l5qIFA9v,https://api.spotify.com/v1/tracks/2h65kdqlhMRtp5l5qIFA9v,https://api.spotify.com/v1/audio-analysis/2h65kdqlhMRtp5l5qIFA9v,302493,4,0
0.565,0.502,11,-5.594,0,0.0793,0.362,2.32e-06,0.164,0.332,103.418,audio_features,1bMYRdTXYdj7KSu4r0O3IQ,spotify:track:1bMYRdTXYdj7KSu4r0O3IQ,https://api.spotify.com/v1/tracks/1bMYRdTXYdj7KSu4r0O3IQ,https://api.spotify.com/v1/audio-analysis/1bMYRdTXYdj7KSu4r0O3IQ,193973,4,0
0.545,0.755,8,-5.438,1,0.257,0.66,0,0.209,0.481,115.029,audio_features,2p0KdK06O9KUMCQ0gsFF0P,spotify:track:2p0KdK06O9KUMCQ0gsFF0P,https://api.spotify.com/v1/tracks/2p0KdK06O9KUMCQ0gsFF0P,https://api.spotify.com/v1/audio-analysis/2p0KdK06O9KUMCQ0gsFF0P,230707,5,0
0.76,0.887,11,-4.902,0,0.038,0.107,0.0242,0.668,0.783,120.396,audio_features,1uBaQNOsRatk1bBTBJnKek,spotify:track:1uBaQNOsRatk1bBTBJnKek,https://api.spotify.com/v1/tracks/1uBaQNOsRatk1bBTBJnKek,https://api.spotify.com/v1/audio-analysis/1uBaQNOsRatk1bBTBJnKek,230493,4,0
0.441,0.929,5,-2.199,0,0.337,0.203,0,0.165,0.546,162.395,audio_features,4AcScHuxr9xAqqyxxTMAhu,spotify:track:4AcScHuxr9xAqqyxxTMAhu,https://api.spotify.com/v1/tracks/4AcScHuxr9xAqqyxxTMAhu,https://api.spotify.com/v1/audio-analysis/4AcScHuxr9xAqqyxxTMAhu,257680,4,0
0.775,0.906,2,-2.806,0,0.337,0.159,0,0.773,0.841,150.08,audio_features,3DQb8H8mBaxXtrpwZWfen1,spotify:track:3DQb8H8mBaxXtrpwZWfen1,https://api.spotify.com/v1/tracks/3DQb8H8mBaxXtrpwZWfen1,https://api.spotify.com/v1/audio-analysis/3DQb8H8mBaxXtrpwZWfen1,209960,4,0
0.433,0.82,1,-3.136,1,0.329,0.00371,0,0.0852,0.405,87.076,audio_features,6xTROKXoqNjGhFNIjfoDO2,spotify:track:6xTROKXoqNjGhFNIjfoDO2,https://api.spotify.com/v1/tracks/6xTROKXoqNjGhFNIjfoDO2,https://api.spotify.com/v1/audio-analysis/6xTROKXoqNjGhFNIjfoDO2,382267,5,0
0.691,0.498,0,-5.716,0,0.144,0.191,6.73e-06,0.107,0.534,94.99,audio_features,12iCwfAxGDFvpU7aTusAle,spotify:track:12iCwfAxGDFvpU7aTusAle,https://api.spotify.com/v1/tracks/12iCwfAxGDFvpU7aTusAle,https://api.spotify.com/v1/audio-analysis/12iCwfAxGDFvpU7aTusAle,262040,4,0
0.456,0.509,2,-6.204,1,0.0895,0.205,0.000652,0.122,0.239,147.154,audio_features,3x8P00PKvIL9w7Z3XI9zyW,spotify:track:3x8P00PKvIL9w7Z3XI9zyW,https://api.spotify.com/v1/tracks/3x8P00PKvIL9w7Z3XI9zyW,https://api.spotify.com/v1/audio-analysis/3x8P00PKvIL9w7Z3XI9zyW,139587,3,0
0.468,0.782,11,-8.303,0,0.898,0.812,1.79e-05,0.107,0.24,159.621,audio_features,71tHNdPFrCNiulvoKzeEuk,spotify:track:71tHNdPFrCNiulvoKzeEuk,https://api.spotify.com/v1/tracks/71tHNdPFrCNiulvoKzeEuk,https://api.spotify.com/v1/audio-analysis/71tHNdPFrCNiulvoKzeEuk,243720,4,0
